=== MEMORY-EFFICIENT TRAINING FOR PROBLEM TRIO ===

Loading all data...
  Loading 15857 files............... done!
  Loading 2398 files.. done!
  Loading 3515 files... done!

Original training size: 15857

Applying 2x augmentation to problem trio (memory-efficient)...
Pre-allocating 23739 total samples...
  aeAegypti: 2600 -> 5200 (2x)
  anArabiensis: 2639 -> 5278 (2x)
  cuPipiens: 2643 -> 5286 (2x)

New training size: 23739
Memory usage: 14.29 GB

Loading ResNet-18...
Network ready

Training configuration:
  Epochs: 60
  Batch: 32
  Initial LR: 0.0005
  Strategy: 2x augmentation for problem trio

Starting training...

Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      11 |        7800 |       08:46:55 |      100.00% |              |       0.0013 |              |          0.0005 |
|      11 |        7850 |       08:50:02 |       96.88% |              |       0.0468 |              |          0.0005 |
|      11 |        7900 |       08:53:08 |      100.00% |              |       0.0053 |              |          0.0005 |
|      11 |        7950 |       08:56:13 |       96.88% |              |       0.0717 |              |          0.0005 |
|      11 |        8000 |       08:59:19 |      100.00% |              |       0.0010 |              |          0.0005 |
|      11 |        8050 |       09:02:25 |      100.00% |              |       0.0040 |              |          0.0005 |
|      11 |        8100 |       09:05:31 |      100.00% |              |       0.0050 |              |          0.0005 |
|      11 |        8150 |       09:08:37 |      100.00% |              |       0.0142 |              |          0.0005 |
|      11 |        8151 |       09:10:07 |      100.00% |       90.41% |       0.0027 |       0.3523 |          0.0005 |
|      12 |        8200 |       09:13:11 |      100.00% |              |       0.0215 |              |          0.0005 |
|      12 |        8250 |       09:16:17 |      100.00% |              |       0.0077 |              |          0.0005 |
|      12 |        8300 |       09:19:23 |       93.75% |              |       0.0592 |              |          0.0005 |
|      12 |        8350 |       09:22:29 |      100.00% |              |       0.0050 |              |          0.0005 |
|      12 |        8400 |       09:25:35 |      100.00% |              |       0.0062 |              |          0.0005 |
|      12 |        8450 |       09:28:40 |      100.00% |              |       0.0137 |              |          0.0005 |
|      12 |        8500 |       09:31:46 |      100.00% |              |       0.0060 |              |          0.0005 |
|      12 |        8550 |       09:34:52 |      100.00% |              |       0.0008 |              |          0.0005 |
|      12 |        8600 |       09:37:58 |       93.75% |              |       0.0945 |              |          0.0005 |
|      12 |        8650 |       09:41:04 |       93.75% |              |       0.0799 |              |          0.0005 |
|      12 |        8700 |       09:44:11 |      100.00% |              |       0.0192 |              |          0.0005 |
|      12 |        8750 |       09:47:16 |      100.00% |              |       0.0019 |              |          0.0005 |
|      12 |        8800 |       09:50:22 |      100.00% |              |       0.0029 |              |          0.0005 |
|      12 |        8850 |       09:53:28 |      100.00% |              |       0.0023 |              |          0.0005 |
|      12 |        8892 |       09:57:31 |      100.00% |       89.74% |       0.0045 |       0.4229 |          0.0005 |
|      13 |        8900 |       09:58:03 |       93.75% |              |       0.0528 |              |          0.0005 |
|      13 |        8950 |       10:01:10 |      100.00% |              |       0.0054 |              |          0.0005 |
|      13 |        9000 |       10:04:18 |      100.00% |              |       0.0004 |              |          0.0005 |
|      13 |        9050 |       10:07:25 |      100.00% |              |       0.0135 |              |          0.0005 |
|      13 |        9100 |       10:10:33 |      100.00% |              |       0.0117 |              |          0.0005 |
|      13 |        9150 |       10:13:41 |      100.00% |              |       0.0013 |              |          0.0005 |
|      13 |        9200 |       10:16:49 |      100.00% |              |       0.0128 |              |          0.0005 |
|      13 |        9250 |       10:19:58 |      100.00% |              |       0.0117 |              |          0.0005 |
|      13 |        9300 |       10:23:03 |      100.00% |              |       0.0058 |              |          0.0005 |
|      13 |        9350 |       10:26:09 |      100.00% |              |       0.0125 |              |          0.0005 |
|      13 |        9400 |       10:29:15 |      100.00% |              |       0.0013 |              |          0.0005 |
|      13 |        9450 |       10:32:21 |      100.00% |              |       0.0006 |              |          0.0005 |
|      13 |        9500 |       10:35:27 |      100.00% |              |       0.0024 |              |          0.0005 |
|      13 |        9550 |       10:38:32 |      100.00% |              |       0.0007 |              |          0.0005 |
|      13 |        9600 |       10:41:38 |      100.00% |              |       0.0049 |              |          0.0005 |
|      13 |        9633 |       10:45:15 |      100.00% |       88.57% |       0.0013 |       0.4976 |          0.0005 |
|      14 |        9650 |       10:46:21 |      100.00% |              |       0.0190 |              |          0.0005 |
|      14 |        9700 |       10:49:30 |      100.00% |              |       0.0008 |              |          0.0005 |
|      14 |        9750 |       10:52:39 |      100.00% |              |       0.0101 |              |          0.0005 |
|      14 |        9800 |       10:55:47 |      100.00% |              |       0.0122 |              |          0.0005 |
|      14 |        9850 |       10:58:56 |       96.88% |              |       0.0649 |              |          0.0005 |
|      14 |        9900 |       11:02:04 |      100.00% |              |       0.0004 |              |          0.0005 |
|      14 |        9950 |       11:05:13 |      100.00% |              |       0.0191 |              |          0.0005 |
|      14 |       10000 |       11:08:22 |       96.88% |              |       0.0823 |              |          0.0005 |
|      14 |       10050 |       11:11:31 |      100.00% |              |       0.0015 |              |          0.0005 |
|      14 |       10100 |       11:14:39 |       96.88% |              |       0.0592 |              |          0.0005 |
|      14 |       10150 |       11:17:48 |       96.88% |              |       0.0638 |              |          0.0005 |
|      14 |       10200 |       11:20:57 |      100.00% |              |       0.0037 |              |          0.0005 |
|      14 |       10250 |       11:24:06 |      100.00% |              |       0.0012 |              |          0.0005 |
|      14 |       10300 |       11:27:14 |      100.00% |              |       0.0126 |              |          0.0005 |
|      14 |       10350 |       11:30:23 |      100.00% |              |       0.0026 |              |          0.0005 |
|      14 |       10374 |       11:33:20 |       96.88% |       88.74% |       0.0825 |       0.4828 |          0.0005 |
|      15 |       10400 |       11:35:00 |      100.00% |              |       0.0039 |              |          0.0005 |
|      15 |       10450 |       11:38:09 |       96.88% |              |       0.0748 |              |          0.0005 |
|      15 |       10500 |       11:41:18 |      100.00% |              |       0.0021 |              |          0.0005 |
|      15 |       10550 |       11:44:27 |      100.00% |              |       0.0019 |              |          0.0005 |
|      15 |       10600 |       11:47:36 |      100.00% |              |       0.0109 |              |          0.0005 |
|      15 |       10650 |       11:50:44 |      100.00% |              |       0.0036 |              |          0.0005 |
|      15 |       10700 |       11:53:53 |      100.00% |              |       0.0005 |              |          0.0005 |
|      15 |       10750 |       11:57:02 |      100.00% |              |       0.0002 |              |          0.0005 |
|      15 |       10800 |       12:00:11 |      100.00% |              |       0.0196 |              |          0.0005 |
|      15 |       10850 |       12:03:19 |       96.88% |              |       0.5077 |              |          0.0005 |
|      15 |       10900 |       12:06:28 |       96.88% |              |       0.0369 |              |          0.0005 |
|      15 |       10950 |       12:09:36 |       96.88% |              |       0.1372 |              |          0.0005 |
|      15 |       11000 |       12:12:45 |       96.88% |              |       0.0555 |              |          0.0005 |
|      15 |       11050 |       12:15:53 |      100.00% |              |       0.0128 |              |          0.0005 |
|      15 |       11100 |       12:19:02 |      100.00% |              |       0.0003 |              |          0.0005 |
|      15 |       11115 |       12:21:26 |      100.00% |       90.49% |       0.0021 |       0.4207 |          0.0005 |
|      16 |       11150 |       12:23:40 |       96.88% |              |       0.0556 |              |          0.0003 |
|      16 |       11200 |       12:26:48 |      100.00% |              |       0.0003 |              |          0.0003 |
|      16 |       11250 |       12:29:57 |      100.00% |              |       0.0001 |              |          0.0003 |
|      16 |       11300 |       12:33:05 |      100.00% |              |       0.0111 |              |          0.0003 |
|      16 |       11350 |       12:36:14 |      100.00% |              |       0.0006 |              |          0.0003 |
|      16 |       11400 |       12:39:23 |      100.00% |              |       0.0107 |              |          0.0003 |
|      16 |       11450 |       12:42:32 |      100.00% |              |       0.0010 |              |          0.0003 |
|      16 |       11500 |       12:45:40 |      100.00% |              |   5.0350e-05 |              |          0.0003 |
|      16 |       11550 |       12:48:49 |      100.00% |              |       0.0048 |              |          0.0003 |
|      16 |       11600 |       12:51:58 |      100.00% |              |       0.0002 |              |          0.0003 |
|      16 |       11650 |       12:55:07 |      100.00% |              |       0.0009 |              |          0.0003 |
|      16 |       11700 |       12:58:15 |      100.00% |              |       0.0009 |              |          0.0003 |
|      16 |       11750 |       13:01:24 |      100.00% |              |       0.0034 |              |          0.0003 |
|      16 |       11800 |       13:04:32 |      100.00% |              |       0.0023 |              |          0.0003 |
|      16 |       11850 |       13:07:41 |      100.00% |              |       0.0002 |              |          0.0003 |
|      16 |       11856 |       13:09:31 |      100.00% |       90.95% |       0.0021 |       0.3830 |          0.0003 |
|      17 |       11900 |       13:12:19 |      100.00% |              |       0.0012 |              |          0.0003 |
|      17 |       11950 |       13:15:27 |      100.00% |              |       0.0107 |              |          0.0003 |
|      17 |       12000 |       13:18:36 |      100.00% |              |       0.0021 |              |          0.0003 |
|      17 |       12050 |       13:21:45 |      100.00% |              |       0.0001 |              |          0.0003 |
|      17 |       12100 |       13:24:53 |      100.00% |              |       0.0022 |              |          0.0003 |
|      17 |       12150 |       13:28:02 |      100.00% |              |       0.0039 |              |          0.0003 |
|      17 |       12200 |       13:31:11 |      100.00% |              |       0.0010 |              |          0.0003 |
|      17 |       12250 |       13:34:19 |      100.00% |              |       0.0005 |              |          0.0003 |
|      17 |       12300 |       13:37:28 |      100.00% |              |       0.0002 |              |          0.0003 |
